time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1722257591.03656101,0.01722189,19996,0.00114028,0.00000000,0,0.00000000,1188,1558,624,0.00000000
1722257591.13686085,0.01404120,19822,0.00079949,0.00000000,0,0.00000000,1558,1639,418,0.00212472
1722257591.23653460,0.01963816,19994,0.00128902,0.00000000,0,0.00000000,1639,1652,315,0.00329227
1722257591.33684254,0.01022517,19917,0.00071943,0.00000000,0,0.00000000,1652,1673,241,0.00113894
1722257591.43691945,0.00791101,19911,0.00052257,0.00000000,0,0.00000000,1673,1665,236,0.00062552
1722257591.53691077,0.01044151,19803,0.00034562,0.00000000,0,0.00000000,1665,1698,163,0.00193270
1722257591.63663745,0.01107603,19900,0.00033082,0.00000000,0,0.00000000,1698,1752,162,0.00119013
1722257591.73646235,0.01270762,20000,0.00027718,0.00000000,0,0.00000000,1752,1832,145,0.00043560
1722257591.83701420,0.01329206,19900,0.00066267,0.00000000,0,0.00000000,1832,1636,160,0.00052615
1722257591.93698430,0.01138762,19808,0.00028892,0.00000000,0,0.00000000,1636,1669,132,0.00169813
1722257592.03681469,0.00826944,19908,0.00025634,0.00000000,0,0.00000000,1669,1764,141,0.00091388
1722257592.13681936,0.01338373,19902,0.00026217,0.00000000,0,0.00000000,1764,1827,106,0.00172494
1722257592.23683643,0.01427018,19892,0.00090329,0.00000000,0,0.00000000,1827,1888,113,0.00068780
1722257592.33685422,0.00844330,19893,0.00025725,0.00000000,0,0.00000000,1888,1900,110,0.00116884
1722257592.43686271,0.01574002,19878,0.00046606,0.00000000,0,0.00000000,1900,1836,102,0.00066359
1722257592.53681397,0.01047283,19912,0.00024204,0.00000000,0,0.00000000,1836,1805,92,0.00081173
1722257592.63682079,0.01329306,19801,0.00036346,0.00000000,0,0.00000000,1805,1779,89,0.00053976
1722257592.73660803,0.01600562,19997,0.00015741,0.00000000,0,0.00000000,1779,1807,71,0.00066226
1722257592.83694315,0.01084647,19901,0.00016060,0.00000000,0,0.00000000,1807,1848,77,0.00087139
1722257592.93695545,0.00930398,19823,0.00016550,0.00000000,0,0.00000000,1848,1871,74,0.00082692
1722257593.03661966,0.01428248,19909,0.00034804,0.00000000,0,0.00000000,1871,1841,77,0.00089989
1722257593.13654709,0.01356334,20018,0.00023866,0.00000000,0,0.00000000,1841,1818,81,0.00109231
1722257593.23686385,0.01038312,19886,0.00014066,0.00000000,0,0.00000000,1818,1836,63,0.00065265
1722257593.33683133,0.00807773,19912,0.00020489,0.00000000,0,0.00000000,1836,1804,67,0.00076836
1722257593.43646526,0.01319311,19897,0.00018646,0.00000000,0,0.00000000,1804,1833,63,0.00082997
1722257593.53685498,0.01327796,19913,0.00018893,0.00000000,0,0.00000000,1833,1796,63,0.00061149
1722257593.63684583,0.00901536,19887,0.00013881,0.00000000,0,0.00000000,1796,1837,64,0.00057418
1722257593.73686385,0.01578353,19918,0.00073019,0.00000000,0,0.00000000,1837,1813,57,0.00056412
1722257593.83683753,0.01339322,19989,0.00014496,0.00000000,0,0.00000000,1813,1800,47,0.00057572
1722257593.93698740,0.01372363,19823,0.00015212,0.00000000,0,0.00000000,1800,1818,56,0.00079257
1722257594.03664279,0.01152119,19898,0.00011969,0.00000000,0,0.00000000,1818,1837,52,0.00059034
1722257594.13684297,0.00857238,19900,0.00010227,0.00000000,0,0.00000000,1837,1858,37,0.00081499
1722257594.23687124,0.01196271,19903,0.00009599,0.00000000,0,0.00000000,1858,1869,33,0.00127649
1722257594.33663082,0.00738933,19899,0.00012185,0.00000000,0,0.00000000,1869,1892,55,0.00071358
1722257594.43662715,0.01260233,19912,0.00009510,0.00000000,0,0.00000000,1892,1896,38,0.00059822
1722257594.53663492,0.00845310,20000,0.00010243,0.00000000,0,0.00000000,1896,1928,43,0.00062665
1722257594.63694763,0.00989241,19911,0.00011463,0.00000000,0,0.00000000,1928,1949,44,0.00071165
1722257594.73691988,0.01360457,19896,0.00008212,0.00000000,0,0.00000000,1949,1959,35,0.00096953
1722257594.83698487,0.01077300,19910,0.00009378,0.00000000,0,0.00000000,1959,1943,29,0.00095691
1722257594.93690085,0.00981913,19884,0.00009404,0.00000000,0,0.00000000,1943,1965,39,0.00052792
1722257595.03691864,0.01224345,19906,0.00010341,0.00000000,0,0.00000000,1965,1987,25,0.00096152
1722257595.13689017,0.01192770,19898,0.00015586,0.00000000,0,0.00000000,1987,1979,46,0.00066297
1722257595.23692989,0.01411170,19906,0.00061296,0.00000000,0,0.00000000,1979,1949,36,0.00177931
1722257595.33686256,0.00887432,19892,0.00011720,0.00000000,0,0.00000000,1949,1952,36,0.00048031
1722257595.43674946,0.00987214,19912,0.00011484,0.00000000,0,0.00000000,1952,1970,27,0.00064494
